c_personid,name_A,c_merged_from_personid,name_B,need_check,source,notes
74647,莊柱,451656,莊柱,,None,莊柱，基本信息同屬一人
59687,吳龍見,351540,吳龍見,,None,吳龍見，基本信息在方志中為同一個人
74697,莊經畬,360989,莊經畬,,None,莊經畬，基本信息在方志中為同一個人
54398,王光燮,343887,王光燮,,None,王光燮，基本信息在方志中為同一個人
81146,陸廣霖,370692,陸廣霖,,None,陸廣霖，基本信息在方志中為同一個人
74683,莊綸渭,360995,莊綸渭,,None,莊綸渭，基本信息在方志中為同一個人
78503,吳祖修,351954,吳祖修,,None,吳祖修，基本信息在方志中為同一個人
75270,劉煥章,370603,劉煥章,,None,劉煥章，基本信息在方志中為同一個人
75042,劉企埰,370455,劉企埰,,None,劉企埰，基本信息在方志中為同一個人
90499,謝惇,340699,謝惇,,None,謝惇，基本信息在方志中為同一個人
90499,謝惇,454173,謝惇,,None,謝惇，基本信息在方志中為同一個人
76521,楊煒,365338,楊煒,,None,楊煒，基本信息在方志中為同一個人
86806,徐大榕,353905,徐大榕,,None,徐大榕，入仕方式為同一人
73800,呂子班,367949,呂子班,,None,呂子班，基本信息在方志中為同一個人
54987,趙仁基,366229,趙仁基,,None,趙仁基，基本信息在方志中為同一個人
91785,魏襄,351294,魏襄,,None,魏襄，入仕方式為同一人
589814,卜桐高,652477,蔔桐高,need_check,None,卜桐高，基本信息在方志中為同一個人
85444,費庚吉,367536,費庚吉,,None,費庚吉，基本信息在方志中為同一個人
70464,董思駉,360708,董思駉,,None,董思駉，基本信息在方志中為同一個人
89504,董基誠,360674,董基誠,,None,董基誠，入仕方式為同一人
73852,呂倌孫,367967,呂倌孫,,None,呂倌孫，入仕方式為同一人
88748,盛隆,441670,盛隆,,None,盛隆，据基本信息以及道光年間在浙任官三十年推測為同一人
114813,也先帖木兒,114814,也先帖木兒,,None,Hongsu cite 姚璐 from PKU team: 114813与114814均任南台察院监察御史，时间接近，可以考虑合并
19550,李炳,97164,李炳,,None,by PKU team
3410,黃章,477909,黃章,,None,知晉陵（常州），紹興十七年1147，\n任官記錄中，提舉常平茶事這一條出處為八閩通志，為紹興間任，應該是ID3410黃章的任官記錄，且進士時間為1132，應與為3410是同一條記錄，但知縣的任官記錄為紹興十七年，知晉陵，不知是否為3410的
478067,None,478067,None,,None,信息較少，來源重修毗陵志，查出處信息與96645同，而“知縣事”這條重修毗陵志沒有這條，96645也也沒有
40982,李守忠,97047,李大同,need_check,None,by PKU team
97864,王定,451104,王定,,None,by PKU team
21516,唐復,511132,唐復,,None,by PKU team
10241,王介,488712,王介,,None,該條仕宦經歷中，出處為《（乾隆）襄陽府志》中的知襄陽府與10241是一人，但另外通判經歷中的經歷出自《紹興府志》很難確認是同一人的仕宦經歷，不過10241的王介確實曾經有通判經歷。此條人物存疑，或雜糅了信息。
40615,李登,45967,李登,,None,by PKU team
46027,吳文震,394211,吳文震,,None,系統只登記了出處《陽江縣志》，查道光陽江縣志，吳文震字谹發，番禺人，新州通判，可歸並
46027,吳文震,496501,吳文震,,None,信息僅記科舉入仕（未知年）和處出《恩平縣志》，查康熙、道光、乾隆版《恩平縣志》，為番禺人，新州通判有傳，又有字谹發，可歸並
40683,李琳,97175,李琳,,None,查出處《宋兩浙郡守年表》，李琳條是引《吳興志》，而吳興志忠所記為敷文閣待制，非系統所錄徽猷閣待制，另此人仕宦集錄與《海陵集》從時段、頭銜上看存在重合，疑似一人
744,徐起,96749,徐起,,None,系统中太平兴国知楚州经历，来源《宋两淮大郡守易替考》引《淮安府志》，但查《淮安府志》，只记了徐起“知楚州”，而未记其年，而“太宗朝知楚州”此句似乎指上一人袁廓，可能系年上考证有误，系统另一条知湖州记录，实际应为在宋史有传的徐起（仁宗时期），且有知楚州、湖州的记录
744,徐起,469267,徐起,,None,《八闽通志》确有知建宁府的徐起，在仁宗时期（明道）年间，未知是否与《宋史》本传中的徐起是否一人，本传中无此仕宦经历；《江南通志》中有知徐州的徐起，由于本传中徐起也有此仕宦经历，疑为同一人。
38294,王珪,502723,王珪,,None,出處《甘肅通志》，為涇原路都監，其他信息無，疑與38249為同一人
18104,李友直,97031,李友直,,None,出處《宋人傳記資料索引》引《兩浙名賢錄》，此李友直為史浩婿，與18104為同一人，應作消歧
